,tower,orbit,scene,tile,time_UTC,product,variable,med3x3,vegetation,climate,MAT_C,MAP_mm,elevation,lat,lon
133,US-xHA,9437,9,18TYN,2020-03-05 12:09:52,L2T_LSTE,height,331.18347,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
134,US-xHA,9437,9,18TYN,2020-03-05 12:09:52,L2T_LSTE,view_zenith,7.640768,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
135,US-Ha1,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_2,3.95236,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
136,US-Ha1,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_4,4.7280874,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
137,US-Ha1,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_5,4.715161,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
138,US-Ha2,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_2,3.9304707,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
139,US-Ha2,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_4,4.719054,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
140,US-Ha2,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_5,4.7108912,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
141,US-xHA,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_2,3.9549518,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
142,US-xHA,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_4,4.7280874,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
143,US-xHA,9891,7,18TYN,2020-04-03 18:49:42,L1CT_RAD,radiance_5,4.783793,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
144,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_2,7.2942476,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
145,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_4,7.865985,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
146,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_5,7.3055897,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
147,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_2,7.1783924,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
148,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_4,7.8422627,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
149,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_5,7.2675095,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
150,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_2,7.637919,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
151,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_4,8.131806,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
152,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L1CT_RAD,radiance_5,7.453666,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
153,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,EmisWB,0.976,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
154,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,LST,290.02,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
155,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,LST_err,0.8,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
156,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,height,327.32156,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
157,US-Ha1,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,view_zenith,3.764925,DBF,Dfb,6.62,1071,340,42.5378,-72.1715
158,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,EmisWB,0.97,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
159,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,LST,288.72,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
160,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,LST_err,0.8,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
161,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,height,344.59003,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
162,US-Ha2,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,view_zenith,3.7407308,ENF,Dfb,6.56,1071,360,42.5393,-72.1779
163,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,EmisWB,0.972,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
164,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,LST,291.44,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
165,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,LST_err,0.8,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
166,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,height,330.40747,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
167,US-xHA,9952,9,18TYN,2020-04-07 17:18:02,L2T_LSTE,view_zenith,3.7865803,DBF,Dfb,6.62,1071,351,42.5369,-72.1727
