tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-xAB,2019-08-04 23:00:00,267.970771051729,190.760767252196,527.14,9.018666666666666
US-xAB,2019-08-05 22:00:00,244.147585149284,253.946264377111,609.54,7.558333333333334
US-xAB,2019-08-12 19:30:00,234.001317362767,310.085062323613,,2.481
US-xAB,2019-08-19 17:00:00,,46.3355568156121,,-0.5523333333333333
US-xAB,2019-09-03 16:00:00,65.9945806032228,,199.93,-3.1236666666666664
US-xAB,2019-10-06 22:30:00,185.261021601533,100.695296955571,342.61,
US-xAB,2019-10-14 19:00:00,,,,
US-xAB,2020-02-10 19:30:00,27.8742790367758,,,-3.783666666666667
US-xAB,2020-02-14 18:00:00,,,106.3,-4.791
US-xAB,2020-02-22 20:00:00,,,,
US-xAB,2020-04-05 22:00:00,175.6124464945,,,4.8406666666666665
US-xAB,2020-04-06 21:00:00,120.172257551986,,,2.5836666666666663
US-xAB,2020-04-09 20:30:00,176.880940216503,397.222103229284,,4.308666666666666
US-xAB,2020-04-13 19:00:00,,,572.06,-2.326
US-xAB,2020-04-14 18:00:00,182.549505784915,306.446762912393,488.69,-2.283
US-xAB,2020-04-17 17:30:00,,212.390570370826,437.79,-3.247333333333333
US-xAB,2020-06-03 22:30:00,182.376127555684,303.246488953757,603.62,4.085666666666667
US-xAB,2020-06-04 21:30:00,,,,3.184333333333333
US-xAB,2020-06-14 18:30:00,,,,-2.4200000000000004
US-xAB,2020-06-18 17:00:00,112.378331258672,274.99327362811,469.15,-1.3563333333333334
US-xAB,2020-06-19 16:00:00,199.588918955861,38.018769692109,,-0.1023333333333333
US-xAB,2020-06-22 15:30:00,84.8892023893207,81.5522991701394,273.88,-2.8036666666666665
US-xAB,2020-06-23 14:30:00,49.265388451355,,125.89,
US-xAB,2020-07-29 00:30:00,,,342.88,6.106333333333333
US-xAB,2020-07-31 23:30:00,,,475.41,5.629
US-xAB,2020-08-01 23:00:00,,,502.7,3.049666666666667
US-xAB,2020-08-04 22:00:00,,,617.72,4.876333333333334
US-xAB,2020-08-05 21:30:00,,,648.66,3.4266666666666663
US-xAB,2020-08-09 01:30:00,,,183.2,2.7236666666666665
US-xAB,2020-08-09 20:00:00,,,645.76,
US-xAB,2020-08-13 18:00:00,,,506.64,-2.444333333333333
US-xAB,2020-08-13 23:00:00,,,503.43,2.0033333333333334
US-xAB,2020-08-16 17:30:00,,,426.22,2.2823333333333333
US-xAB,2020-08-17 16:30:00,,,305.65,0.7093333333333333
US-xAB,2020-08-20 16:00:00,,,243.42,-0.2809999999999999
US-xAB,2020-09-01 16:00:00,,,207.27,-2.687
US-xAB,2020-09-29 23:30:00,,,231.59,
US-xAB,2020-10-02 23:00:00,,39.2867507778978,268.66,
US-xAB,2020-10-03 22:00:00,153.01144612684,113.265567974409,385.47,3.142333333333333
US-xAB,2021-02-05 21:00:00,,,,2.0865
US-Var,2019-02-11 18:30:00,,,313.78,0.52918
US-Var,2019-02-21 21:30:00,,,454.6,20.261
US-Var,2019-05-30 00:00:00,,,369.01,45.087
US-Var,2019-06-02 22:30:00,,,585.6,54.622
US-Var,2019-06-06 21:00:00,,,688.46,47.718
US-Var,2019-06-09 20:00:00,,,690.75,44.989
US-Var,2019-06-13 18:30:00,,,622.3,27.236
US-Var,2019-06-17 00:00:00,,,376.29,42.191
US-Var,2019-06-20 16:00:00,,,330.03,1.3176
US-Var,2019-06-20 22:30:00,,,556.96,50.574
US-Var,2019-06-23 21:30:00,,,616.09,60.259
US-Var,2019-07-01 18:00:00,,,568.37,25.505
US-Var,2019-07-05 16:30:00,,,370.75,10.588
US-Var,2019-07-27 01:30:00,,,98.662,29.301
US-Var,2019-08-03 22:00:00,,,513.38,58.535
US-Var,2019-08-10 19:30:00,,,605.44,37.958
US-Var,2019-08-14 18:00:00,,,476.25,26.812
US-Var,2019-08-17 23:30:00,,,336.97,44.938
US-Var,2019-08-21 22:00:00,,,511.98,47.635
US-Var,2019-08-25 20:30:00,,,565.28,46.777
US-Var,2019-08-29 18:30:00,,,507.23,23.475
US-Var,2019-09-01 18:00:00,,,439.28,24.763
US-Var,2019-09-02 17:00:00,,,326.42,10.594
US-Var,2019-09-06 15:30:00,,,104.83,-8.0199
US-Var,2019-10-02 22:30:00,,,314.04,29.036
US-Var,2019-10-06 20:30:00,,,436.85,38.062
US-Var,2019-10-09 20:00:00,,,449.59,22.852
US-Var,2019-10-17 16:30:00,,,120.17,3.2258
US-Var,2019-10-17 23:00:00,,,193.73,17.189
US-Var,2019-10-21 21:30:00,,,335.96,30.656
US-Var,2019-11-01 17:30:00,,,217.44,3.1119
US-Var,2019-12-09 19:30:00,,,306.42,9.0326
