,ID,vegetation,climate,STICinst,BESSinst,MOD16inst,PTJPLSMinst,ETinstUncertainty,PET,Rn,ESI,RH,Ta,LST,SM,time_utc,solar_time,solar_hour,local_time,LE,LE_filt,LEcorr25,LEcorr50,LEcorr75,LEcorr_ann,H_filt,NETRAD_filt,G_filt,SM_surf,SM_rz,AirTempC,RH_percentage,ESIrn_STIC,ESIrn_PTJPLSM,ESIrn_MOD16,ESIrn_BESS,ESIrn_Unc_ECO,ESIrn_LEcorr50
41,US-ONA,GRA,Cfa,153.44878,147.94453,159.96616,68.92575,36.692066,127.01721,160.14685,0.544263,0.84742415,23.178593,297.0,0.1872186,2020-10-14 13:30:00,2020-10-14 08:02:11.784,8.0,2020-10-14 08:30:00.000,141.343,141.343,179.48574615515628,188.89393392859708,205.53395495872175,189.6431110026753,25.4191,207.25,-9.555828,0.105095,0.09954750000000001,24.715,0.8364090000000001,0.9581754495951684,0.4303909193343484,0.9988717230466913,0.9238054323266426,0.22911512777179194,0.9114303205239908
42,US-ONA,GRA,Cfa,47.14817,86.7538,341.0973,135.74979,113.44331,284.70627,341.78467,0.4779504,0.5868855,27.819769,293.69,0.0783038,2020-11-26 20:00:00,2020-11-26 14:32:11.784,14.0,2020-11-26 15:00:00.000,188.232,188.232,241.0641770522313,263.18032414623286,287.85010893401443,252.55514648943057,105.286,394.523,26.78906333333333,0.13637,0.126185,28.967,0.511427,0.13794700037307114,0.3971792824997095,0.9979888799576646,0.2538258957021097,0.3319145648047936,0.6670848699473361
43,US-ONA,GRA,Cfa,8.243487,67.87122,418.9831,203.18163,157.53053,368.24805,428.2415,0.5517521,0.42535698,34.59172,309.88,0.042875268,2021-05-26 21:00:00,2021-05-26 15:32:11.784,15.0,2021-05-26 16:00:00.000,132.615,132.615,165.14853662269948,180.64779526373076,211.91743458288903,177.9325553131021,130.99,328.103,29.948666666666668,0.022000000000000002,0.027750000000000004,31.768,0.400687,0.019249622000670184,0.4744557218298554,0.9783804231957902,0.15848818949121,0.36785442326350903,0.5505825770070092
44,US-WCr,DBF,Dfb,0.12518053,96.19629,96.77022,36.474167,41.129738,36.638165,154.58746,0.9944737,0.81221765,-8.556643,263.1,0.19828707,2019-02-13 17:00:00,2019-02-13 10:59:40.824,10.0,2019-02-13 11:00:00,,,,,,,,,0.0438830499999999,,0.32,-6.578654572727273,,0.0008097715687934844,0.23594518598080338,0.625990102948842,0.6222774473427535,0.26606128336671037,
45,US-WCr,DBF,Dfb,19.311178,61.892113,73.35919,26.670866,22.838177,26.670866,120.62053,1.0,0.75661325,-9.94986,252.56,0.21611872,2019-02-16 16:00:00,2019-02-16 09:59:40.824,9.0,2019-02-16 10:00:00,5.831651,5.831651,4.608664447178413,10.493975708066005,14.580562019818569,8.308700861127189,43.26316,153.9761,0.2656667,,0.3185,-9.682067790909093,,0.16009860013050847,0.22111381868409963,0.6081816254662452,0.513114251777869,0.18933905364202927,0.0681532764374861
46,US-WCr,DBF,Dfb,12.672205,43.66312,50.561813,14.500391,17.234394,14.500391,83.11835,1.0,0.7251142,-14.21229,255.22,0.34102798,2019-02-27 16:30:00,2019-02-27 10:29:40.824,10.0,2019-02-27 10:30:00,19.59143,,,,,,179.7138,108.2092,-0.162832,,0.31133333333333335,-9.75575518181818,,0.15245977572942676,0.17445475036499158,0.6083110769162284,0.5253126415526775,0.2073476434505738,
47,US-WCr,DBF,Dfb,12.583268,37.165466,49.325954,11.931975,16.379103,12.213349,75.92775,0.9769618,0.78067696,-15.724778,257.8,0.25869805,2019-02-28 15:30:00,2019-02-28 09:29:40.824,9.0,2019-02-28 09:30:00,1.471271,1.471271,1.8786136263970632,2.490780590642045,3.0537099230080966,2.096207510471985,78.64352,269.2374,-0.12033335,,0.31066666666666665,-11.020103663636364,,0.1657268653423814,0.1571490660529253,0.6496432990573275,0.4894846218938399,0.2157195886879303,0.009251242920344816
48,US-WCr,DBF,Dfb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7771872,-10.695031,320.72,0.26836196,2019-03-02 15:30:00,2019-03-02 09:29:40.824,9.0,2019-03-02 09:30:00,7.317335,7.317335,9.88672284818806,12.682938241420375,15.403050424793449,10.425443431998266,97.75131,229.3707,-0.41083335,,0.314,-7.531231972727272,,,,,,,0.055294500306361606
49,US-WCr,DBF,Dfb,28.881926,38.343636,251.33546,86.1905,89.119026,187.8456,251.7551,0.46540987,0.6528165,19.216301,292.0,0.32071307,2019-05-31 22:30:00,2019-05-31 16:29:40.824,16.0,2019-05-31 16:30:00,94.79713,94.79713,104.23247116825463,133.39613966935772,204.52372573635355,135.0631228897933,-13.62383,104.5193,16.1605565,,0.3483333333333333,20.566131818181816,,0.11472230751234036,0.3423585063420761,0.9983331420098343,0.15230529987277316,0.35399094596296166,1.2762823676522683
50,US-WCr,DBF,Dfb,181.27554,98.91593,296.9302,118.01741,77.46093,231.64888,297.46722,0.50946677,0.79992193,21.383657,296.04,0.39239204,2019-06-04 21:00:00,2019-06-04 14:59:40.824,14.0,2019-06-04 15:00:00,198.0967,198.0967,198.1198700053431,256.3351483374796,340.5975369200043,282.2401789607188,227.0053,423.8846,15.673195,,0.34,22.841358181818176,,0.6093966925162376,0.3967408913156885,0.9981946918386504,0.33252716047166475,0.2604015662633348,0.6047286179716829
